Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
58.3,0.0,0.04378734050078693
58.4,0.0,0.043188473985810875
58.5,0.0,0.042568181547986576
58.6,0.0,0.041927678750905445
58.7,0.03906676958027953,0.041268223790925124
58.8,0.0,0.04059111286517032
58.9,0.0,0.03989767540371616
59.0,0.0,0.03918926919298524
59.1,0.0,0.03846727541787689
59.2,0.0,0.03773309365042752
59.3,0.0,0.03698813681287075
59.4,0.0,0.036233826142825575
59.5,0.0,0.03547158618799943
59.6,0.0,0.034702839857247
59.7,0.0,0.03392900355409284
59.8,0.035510671445264395,0.03315148241790527
59.9,0.0,0.03237166569681891
60.0,0.0,0.03159092227525014
60.1,0.0,0.03081059637744968
60.2,0.0,0.030032003467003895
60.3,0.0,0.029256426360545887
60.4,0.0,0.028485111572183402
60.5,0.0,0.027719265903315887
60.6,0.0,0.02696005329060514
60.7,0.0,0.02620859192291162
60.8,0.0,0.02546595163601963
60.9,0.0,0.024733151591971946
61.0,0.03485352431523704,0.024011158247834855
61.1,0.0,0.02330088361673021
61.2,0.0,0.02260318382202594
61.3,0.0,0.0219188579436768
61.4,0.0,0.021248647153874305
61.5,0.0,0.02059323413740869
61.6,0.0,0.019953242790477946
61.7,0.0,0.01932923819011421
61.8,0.0,0.018721726824940728
61.9,0.0,0.018131157076635342
62.0,0.0,0.017557919940264854
62.1,0.0,0.01700234997057193
62.2,0.04894948671950903,0.016464726440351282
62.3,0.0,0.015945274696242406
62.4,0.0,0.015444167696596199
62.5,0.0,0.014961527715543203
62.6,0.0,0.014497428196995876
62.7,0.0,0.01405189574206168
62.8,0.0,0.013624912213215453
62.9,0.0,0.013216416938580267
63.0,0.0,0.012826308999787822
63.1,0.0,0.012454449587124033
63.2,0.0,0.012100664406009883
63.3,0.0,0.01176474611930946
63.4,0.046890468964500984,0.011446456810490759
63.5,0.0,0.011145530453280763
63.6,0.0,0.010861675374144194
63.7,0.0,0.010594576694668068
63.8,0.0,0.010343898741739962
63.9,0.0,0.010109287414258632
64.0,0.0,0.009890372496002057
64.1,0.0,0.009686769905189262
64.2,0.0,0.009498083872202323
64.3,0.0,0.009323909037872485
64.4,0.0,0.009163832465672199
64.5,0.05849414617605039,0.009017435562087056
64.6,0.0,0.008884295900356989
64.7,0.0,0.008763988943673088
64.8,0.0,0.00865608966478452
64.9,0.0,0.008560174059806459
65.0,0.0,0.008475820554819956
65.1,0.0,0.00840261130461194
65.2,0.0,0.0083401333836179
65.3,0.0,0.008287979869795101
65.4,0.0,0.008245750822770712
65.5,0.0,0.008213054158174157
65.6,0.0,0.008189506420575159
65.7,0.05610448712982488,0.008174733457908857
65.8,0.0,0.008168371000675785
65.9,0.0,0.00817006514955889
66.0,0.0,0.008179472775402648
66.1,0.0,0.008196261835751882
66.2,0.0,0.008220111612352256
66.3,0.0,0.008250712874172188
66.4,0.0,0.00828776797061947
66.5,0.0,0.00833099085969778
66.6,0.0,0.00838010707588134
66.7,0.0,0.008434853642482244
66.8,0.0,0.008494978933248718
66.9,0.06797462343202375,0.008560242487865511
67.0,0.0,0.008630414785933134
67.1,0.0,0.00870527698388465
67.2,0.0,0.00878462061915832
67.3,0.0,0.008868247285786649
67.4,0.0,0.008955968285388645
67.5,0.0,0.009047604257365215
67.6,0.0,0.009142984791901686
67.7,0.0,0.00924194802917635
67.8,0.0,0.00934434024796483
67.9,0.0,0.009450015446617107
68.0,0.0,0.00955883491916974
68.1,0.07609629784753826,0.009670666829143073
68.2,0.0,0.00978538578336164
68.3,0.0,0.00990287240792917
68.4,0.0,0.010023012928287734
68.5,0.0,0.010145698755094116
68.6,0.0,0.010270826077459052
68.7,0.0,0.010398295464913556
68.8,0.0,0.010528011479295503
68.9,0.0,0.010659882297587292
69.0,0.0,0.01079381934658192
69.1,0.0,0.010929736950113133
69.2,0.0887570154938293,0.011067551989451278
69.3,0.0,0.011207183577344692
69.4,0.0,0.011348552746073605
69.5,0.0,0.011491582149780149
69.6,0.0,0.011636195781246096
69.7,0.0,0.011782318703205003
69.8,0.0,0.01192987679420157
69.9,0.0,0.012078796508944896
70.0,0.0,0.012229004653043881
70.1,0.0,0.012380428171963944
70.2,0.0,0.012532993954000489
70.3,0.0,0.012686628647029179
70.4,0.10534078223438484,0.012841258488763326
70.5,0.0,0.012996809150224187
70.6,0.0,0.013153205592112131
70.7,0.0,0.013310371933751852
70.8,0.0,0.013468231334275601
70.9,0.0,0.013626705885702686
71.0,0.0,0.013785716517569983
71.1,0.0,0.013945182912769914
71.2,0.0,0.01410502343425372
71.3,0.0,0.014265155062263555
71.4,0.0,0.014425493341763474
71.5,0.0,0.014585952339746418
71.6,0.13316521483123556,0.01474644461210454
71.7,0.0,0.014906881179758589
71.8,0.0,0.015067171513752916
71.9,0.0,0.015227223529033173
72.0,0.0,0.015386943586633168
